Место,Команда,Матчи,Победы,Очки
Арсенал[a][b],"2-е",1904/05,109,2003/04
Астон Вилла[a][c],"6-е",1888/89,112,1980/81
Бернли[c],"2-е в Чемпионшипе",1888/89,61,1959/60
Борнмут,"9-е",2015/16,9,—
Брайтон энд Хоув Альбион[b],"8-е",1979/80,13,—
Брентфорд[b],"10-е",1935/36,10,—
Вест Хэм Юнайтед,"14-е",1923/24,68,—
Вулверхэмптон Уондерерс[c],"16-е",1888/89,71,1958/59
Кристал Пэлас[a],"12-е",1969/70,26,—
Ливерпуль[a][b],"1-е",1894/95,111,2024/25
Лидс Юнайтед[a],"1-е в Чемпионшипе",1924/25,54,1991/92
Манчестер Сити[a],"3-е",1899/00,97,2023/24
Манчестер Юнайтед[a][b],"15-е",1892/93,101,2012/13
Ноттингем Форест[a],"7-е",1892/93,60,1977/78
Ньюкасл Юнайтед,"5-е",1898/99,94,1926/27
Сандерленд,"4-е в Чемпионшипе",1890/91,87,1935/36
Тоттенхэм Хотспур[a][b],"17-е",1909/10,91,1960/61
Фулхэм,"11-е",1949/50,31,—
Челси[a][b],"4-е",1907/08,91,2016/17
Эвертон[a][b][c],"13-е",1888/89,123,1986/87